ID,Positions
P18085,S10
P12004,S10
Q8TE54,S10
Q13938,S10
P24752,S10
Q9UGH3,S10
Q99538,S10
O15068,S10
O15068,S13
O15294,S10
O15294,T12
O15294,S18
O15294,T38
O15294,S52
O15294,S56
O15294,T449
P02788,S10
Q9H4A3,S10
Q9H4A3,S11
Q9H4A3,T71
Q9H4A3,T73
Q9H4A3,S167
Q9H4A3,S183
Q9H4A3,S1234
Q9H4A3,S1235
Q9H4A3,T1244
Q9H4A3,S1245
Q9H4A3,S1246
Q9H4A3,T1248
Q9H4A3,S1253
Q9H4A3,S1261
Q9H4A3,S1276
Q9H4A3,T1279
Q9H4A3,T1281
Q9H4A3,S1285
Q9H4A3,S1289
Q9H4A3,S1299
Q9H4A3,T1521
Q9H4A3,S1543
Q9H4A3,S1558
Q9H4A3,S1559
Q9H4A3,S1562
Q9H4A3,S1681
Q9H4A3,T1687
Q9H4A3,T1695
Q9H4A3,T1757
Q9H4A3,T1812
Q9H4A3,S1813
Q9H4A3,T1827
Q9H4A3,T1848
Q9H4A3,S1849
Q9H4A3,S1850
Q9H4A3,S1863
Q9H4A3,T1929
Q9H4A3,S1931
Q9H4A3,S1935
Q9H4A3,T1949
Q9H4A3,T1950
Q9H4A3,T1951
Q9H4A3,S2302
Q9H4A3,S2306
Q9H4A3,S2358
Q9H4A3,S2370
Q9H4A3,S2372
Q9H4A3,S2377
Q9H4A3,T2381
Q9H4A3,T2382
Q8WWH5,S10
Q8WWH5,S144
Q8WWH5,S146
Q6ZUV0,S10
Q6ZUV0,T11
Q96CT2,S100
O76027,S100
Q8N184,S100
Q9H4S2,S100
Q96IZ5,S100
Q96IZ5,S103
P78310,S100
P78310,S203
P78310,T209
P78310,S211
P78310,T213
Q99717,S100
Q99717,S307
Q96BY6,S1000
Q96BY6,S1318
Q96BY6,S2169
Q5W0Q7,S1001
Q14005,S1001
Q14005,S1275
Q14005,T1277
Q9GZU2,S1009
P55916,S101
O43597,S101
Q8ND24,S101
Q8ND24,S103
Q9NZN8,S101
Q9NZN8,S108
Q9NZN8,T111
Q9NZN8,T113
Q9NZN8,T114
Q9NZN8,T118
Q9NZN8,S120
Q9NZN8,S126
